tweet_id	publish_date	content	trump_mention
691773823402713088	1/26/2016 0:05	.@_KrisJStewart on #OscarsSoWhite: 'Instead of complaining, do Something' Ok. Like dis? #Oscar2016 https://t.co/lLeSRgBkPh	F
692046358123909121	1/26/2016 18:08	Anyone else wondering about this? Help spreading this #DonateWater2Flint #FlintWaterCrisis  #BlackLivesMatter https://t.co/QG2zfIuLCR	F
692109770631720960	1/26/2016 22:20	They blind?? NYPD #cops zapped wrong man. Victim will file $5M lawsuit  https://t.co/7L4jEsLjrU  #Policebrutality https://t.co/2DFUmtcVfR	F
692115563120754689	1/26/2016 22:43	TF? Man ACCIDENTALLY thrown in the steaming shower? Dat's BS  https://t.co/z1heKZq1y5 https://t.co/diT5oarO4T	F
691823392173854721	1/26/2016 3:22	Sick! What next? Braiding salon hiring only white women #Black   https://t.co/jir5Rc5e4N https://t.co/ZsSXJn3Phb	F
693212786130694144	1/29/2016 23:23	Do conservatives give a fuck about #policebrutality?  https://t.co/oJFdyaT36E #BlackLivesMatter https://t.co/8fMNEgNqDR	F
692894371692171264	1/29/2016 2:17	'@deray Carson forgot to take his pills?'	F
683727662729281538	1/3/2016 19:12	'@markaddisonjr @deray Is a kid at pool more dangerous than 150 armed thugs in federal building? #OregonUnderAttack https://t.co/ZS02gaz5Ds'	F
683727939586920448	1/3/2016 19:13	'@markaddisonjr @deray is a 12 yo black kid with a toy gun more dangerous than 150 armed bigots?'	F
683729916928593920	1/3/2016 19:21	Is this accurate? #OregonUnderAttack  #BlackLivesMatter  #equality https://t.co/L52QCgrF3Q	F
683764512734986241	1/3/2016 21:38	Anyone? #OregonUnderAttack  #BlackLivesMatter  #TamirRice  #JusticeForTamir  @deray @LeftSentThis https://t.co/am3PHNG95e	F
683764890163609602	1/3/2016 21:40	'@deray yeah right. What about their guns? They seem less threatening than Tamir's?'	F
683775878128627714	1/3/2016 22:24	'@Billysmithjr33 should i remind you it was open carry state?'	F
693508117926117378	1/30/2016 18:56	Can anyone explain this shit? #Black https://t.co/1cucOFqHxF	F
693533909049556992	1/30/2016 20:39	WTF???? @Migov currently has a $575M budget SURPLUS  https://t.co/8gpWUSOeui #FlintWaterCrisis https://t.co/Jx3E0UX1K0	F
684809922442166272	1/6/2016 18:53	Only 5 years? U fuckin kidding? Cop Gave Under Age Girl Ambien to Drug Her, Then Raped Her  https://t.co/e79QE8rIXz https://t.co/O8ev0LvgYj	F
684546447904133121	1/6/2016 1:26	1,200 people killed by police in 2015. 0 cops in jail today 0 convictions Justice? Definitely NO #BlackLivesMatter https://t.co/oqV9W0dNeR	F
685919240705081344	1/9/2016 20:21	How to get a paid vacation as a cop 1 Break the law 2 Get vacation  Da phuck? https://t.co/aIPpbs3nyj	F
653294062674448384	10/11/2015 19:40	ATTENTION! remember this motherfucker? you can help get this DANGEROUS #Cop off the streets   http://t.co/XFW9FEln5u http://t.co/Y6Rzjvb6xD	F
653309560321499136	10/11/2015 20:41	"""Are they for real?"" #PoliceBrutality #PoliceAbuse #CopBlock #JusticeOrElse http://t.co/IjA6qsp7tE http://t.co/XIbGa72OeR"	F
653312772260794368	10/11/2015 20:54	So now they say #TamirRice shooting was reasonable! seriously? 12 y/o boy with a pellet gun... smell it? I DO http://t.co/ChewO2lFNv	F
653354689501659136	10/11/2015 23:41	#Police Withhold videos despite vows of transparency  So there is a fair question if #bodycameras are really working? http://t.co/FG5tyYn2Mu	F
653553997828112385	10/12/2015 12:53	WHY THE HELL THEY WERE NOT PUNISHED? are u fucking serious???  #BlackLivesMatter #BlackTwitter #blackpeopletwitter http://t.co/IbiUC6pIXX	F
653563431677616128	10/12/2015 13:30	'@marclamonthill @carolsonlyboy yes bro  should we speak 'bout justice or else?'	F
